coincidence_sum,duration,similarity,stations,time,trace_ids
3.0,2.2249999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:28:27.387700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.4499998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:31:07.762700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,1.7750000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:31:24.187700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,1.7000000476837158,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:34:40.287700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.625,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:35:51.137700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,2.124999761581421,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:36:04.462700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.4000000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:36:40.812700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.674999952316284,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:37:11.412700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,1.8499999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:38:16.662700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,1.4750001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:38:35.787700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.1500000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:39:11.737700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.2249999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:39:46.787700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.075000047683716,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:40:27.662700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.249999761581421,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:41:30.462700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.375,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:41:38.412700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,2.0,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:41:59.237700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.299999952316284,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:42:21.437700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,3.7249999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:42:50.537700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,1.9000000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:43:16.212700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.549999952316284,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:43:51.937700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.0,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:44:41.537700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,3.0,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:45:12.637700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,3.249999761581421,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:45:51.337700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,2.299999952316284,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:46:08.762700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,1.8500001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:46:43.012700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.174999952316284,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:47:18.912700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,2.3500001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:49:43.312700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,1.7249999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:49:59.762700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
